Year,Status,Adult_Mortality,Alcohol,percentage_expenditure,BMI,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling,Health_Index,Life_expectancy
2006,Developed,96,13.11,2884.020194,54.9,9.67,97,0.1,19821.44463,1522288,0.793,15.4,0.704099287,78.5
2004,Developing,99,4.25,3.479918859,49.9,9.4,84,0.1,265.642661,3781287,0,12.3,0.799004481,75.5
2011,Developing,232,17.31,846.9113071,59.9,4.92,98,0.1,6519.71753,9473172,0.787,15.5,0.676009141,72
2012,Developing,25,0.55,38.4279083,21.3,2.22,84,0.5,1171.58257,5986514,0.533,9.1,0.949202254,65.9
2011,Developing,242,11.04,184.764931,58.1,6.61,97,0.3,14212.687,14296868,0.785,14,0.312593135,69.4
2006,Developing,41,9.81,50.83901418,14.8,9.86,64,8.6,336.4593923,2955662,0.434,10.6,0.531890181,54.9
2011,Developing,464,6,63.75053034,29.9,6.31,93,13.3,839.927936,14386649,0.452,10.1,0.73508971,54.9
2009,Developed,152,10.93,661.5144334,62.1,6.78,94,0.1,6955.987733,7444443,0.768,13.8,0.406670774,73.2
2008,Developing,121,6.17,709.1311228,57.8,6.13,95,0.1,7325.73474,616969,0.774,14.2,0.275562261,74.6
2010,Developing,33,4.16,31.14187566,16.1,8.82,96,1.9,231.1943256,876693,0.361,9.3,0.352197256,56.8
2004,Developed,86,11.83,5842.374765,57.1,1.37,96,0.1,34165.9343,8251626,0.877,16.4,0.640424116,79.1
2007,Developing,425,1.03,53.9502789,19.3,5.25,75,14.1,422.1461573,22188387,0.36,8.2,0.537707164,52.1
2014,Developed,97,12.14,1884.098811,63.1,7.8,95,0.1,13467.46827,4238389,0.82,15.1,0.264050533,77.8
2002,Developing,197,3.5,2.092343893,44.2,5.71,85,0.4,11.147277,5171734,0.577,10.7,0.211372349,75
2013,Developing,179,6.02,1122.972967,57,5.96,86,0.4,9484.56898,54254,0.719,12.7,0.562195306,71.2
2005,Developing,135,0.46,297.5913833,3.7,3.29,96,0.1,5593.822995,25659393,0.734,12.9,0.673756063,73.4
2011,Developing,193,3,64.6059005,16.4,4.33,82,0.2,1461.671957,124723629,0.58,10.8,0.356584652,66.8
2006,Developing,191,0.06,72.0159316,19.7,2.91,72,0.1,1586.254,22983822,0.632,10.9,0.302479579,67.3
2002,Developing,587,5.52,131.0421269,26.7,5.16,85,49.9,1324.996228,1893,0.502,9.2,0.718287523,46.4
2011,Developing,29,0.22,42.2547904,21.2,4.73,63,2,459.2912,113517,0.385,8.4,0.862117827,58.1
2015,Developing,74,4.6,364.9752287,58,6,99,0.1,3954.22783,28873,0.762,14.2,0.415104007,77.8
2010,Developing,132,7.24,194.1732658,52,1.5,92,0.1,2964.47734,3926,0.738,13.3,0.553481303,73.8
2008,Developing,172,2.1,17.81424344,18.5,3.44,98,0.1,254.489192,19817,0.731,13.3,0.981892979,72.3
2011,Developing,24,8.48,415.1627705,59,6.98,5,0.2,3569.75727,45761,0.734,14.9,0.197272211,75
2008,Developing,65,2.47,471.5533294,62.1,7.33,94,0.1,29657.4421,7388,0.877,15.8,0.625189356,81
2007,Developing,559,1.18,4.269511381,16.6,9.31,87,19.3,32.2227274,1384969,0.387,9.7,0.58661012,48.5
2007,Developed,63,11.56,1958.525877,56.3,6.5,97,0.1,31386.63265,163712,0.836,13.5,0.177141295,78.9
2014,Developing,271,0.01,73.52358168,18.6,8.18,62,0.1,612.696514,327582,0.476,10,0.748243604,59.9
2011,Developing,114,1.53,1275.877569,62.8,5.29,97,0.1,11341.13395,7349455,0.737,13.8,0.097088743,74.5
2005,Developing,137,0.47,9.469371264,49.1,5.6,98,0.1,213.755559,35217,0.569,9.8,0.190620037,77
2005,Developed,11,13.33,2813.985285,54.1,9.98,93,0.1,18784.9485,15333,0.79,15.4,0.971374156,77.7
2012,Developing,97,3.34,2568.237059,57.5,9.56,91,0.1,9985.36959,4654122,0.758,13.6,0.162114347,79.2
2011,Developing,13,1.29,623.2120325,57.4,7.15,98,0.1,4256.91279,1761467,0.714,14.5,0.064280856,74.8
2013,Developing,393,0.01,708.9556648,31.2,9.66,98,9.8,3598.75972,1271456,0.539,11.4,0.053682669,57.6
2002,Developing,142,2.72,60.55818291,47,8.72,84,0.1,779.3845935,4357,0.677,11.8,0.855820444,71.7
2012,Developing,92,4.61,693.8226461,54.2,9.94,92,0.1,4716.673325,36482,0.728,13.9,0.909779328,76.8
2009,Developing,254,0.91,71.16601203,17.6,4.7,77,0.5,415.6893226,2569121,0.5,9.7,0.966920023,62.8
2011,Developing,266,3.72,60.44658161,25,11.23,77,1.5,379.689583,47167,0.406,9.5,0.498319724,62
2007,Developing,395,5.44,7.562892922,24.4,4.76,82,7,111.71186,18395389,0.456,8,0.865322645,53.6
2008,Developing,189,0.07,10.26341108,21.3,2.81,77,0.2,216.52766,236159276,0.641,11.7,0.673356207,67.7
2006,Developing,123,0.97,122.6523334,48.5,3.78,8,0.1,1762.24617,18914977,0.636,11.4,0.330371601,73.7
2005,Developing,16,3.63,287.4671305,69.7,4.47,49,0.1,2571.262348,179929,0.671,12.6,0.098848339,71.6
2014,Developing,285,0.01,4.877350139,23.7,5.25,87,1,62.1318489,7228915,0.475,12,0.424028345,59.7
2011,Developing,158,3.03,918.807245,31.3,5.2,98,0.1,9197.26972,125244,0.748,14.1,0.243921769,73.6
2014,Developed,58,0.01,1491.703605,61.6,1.9,96,0.1,52157.4687,168658,0.923,18.1,0.510367748,81.7
2003,Developed,174,8.78,375.1740323,52.9,5.3,97,0.1,2774.95586,21574326,0.722,12.5,0.374035853,71.1
2007,Developing,227,0.14,146.7606488,53.8,3.69,57,0.1,3129.224922,2839433,0.636,10.2,0.426592876,65.9
2013,Developing,23,0.87,79.50882493,19.5,4.15,74,0.4,461.723722,22961146,0.508,10.3,0.589312447,64.7
2005,Developing,34,1.07,5.064688968,13.9,2.97,96,1.6,276.75896,39697,0,5.4,0.588848916,59.4
2011,Developing,121,6.9,119.2124275,54.9,7.5,87,0.1,927.723171,377782,0.758,12.9,0.959399662,77.3
2002,Developing,129,0.54,259.1572375,55.5,9.68,95,0.1,1812.288374,5287488,0.712,13,0.385378007,72.1
2014,Developing,237,0.01,715.2816939,35.8,3.44,7,2.8,9692.163874,1875713,0.687,12.6,0.208655242,65.5
2014,Developed,66,12.32,8350.193523,57.1,11.21,98,0.1,51322.63997,8541575,0.892,15.9,0.478019397,81.4
2014,Developing,245,0.01,5.103249438,48.8,7.56,48,0.5,83.1148117,1572466,0.487,9.1,0.878126037,63.1
2013,Developing,119,8.28,1001.796332,61.6,4.99,94,0.1,12976.63642,42539925,0.823,17.3,0.12669334,76
2009,Developing,123,0.5,352.0636419,52.8,5.36,95,0.1,3868.83123,3546576,0.705,13.1,0.270844502,74.4
2007,Developed,63,8.37,5228.821581,59.4,8.48,97,0.1,37698.78573,5843831,0.862,16.1,0.209212886,81.3
2010,Developing,91,5.28,41.82275719,54.3,5.34,99,0.1,494.358832,291321,0.725,12.5,0.097814793,76.2
2010,Developing,94,4.54,630.3883564,53.1,9.58,89,0.1,4611.47298,372284,0.717,13.3,0.678316249,76.4
2003,Developing,146,1.69,72.4280894,15.6,3.95,99,0.1,989.4547732,1983,0.697,12.7,0.054061481,73.9
2014,Developing,121,3.82,79.11626341,53.5,9.16,83,0.1,6432.216537,1593112,0.737,14,0.934378828,76
2008,Developing,275,1.78,161.0106435,24.2,4.85,93,2.2,1224.41554,2329864,0.53,9.8,0.694910199,63
2012,Developed,61,9.35,4255.781693,64.8,9.39,97,0.1,28562.29324,4677355,0.871,17.2,0.144693005,82
2005,Developing,71,2.41,250.9343317,6.6,7.44,93,0.1,2611.17931,6931,0.866,15.8,0.814263873,80
2009,Developing,96,4.07,24.88720369,54.4,9.69,86,0.1,689.396224,4488263,0.747,13.1,0.040057566,79.2
2009,Developing,232,0.17,27.48907048,19.5,6.3,93,0.4,177.234497,714458,0,10.9,0.346310759,67.4
2010,Developing,12,1.28,64.85616718,56.5,6.54,98,0.1,414.15177,1639931,0.71,14.4,0.406876342,74.8
2013,Developing,19,1.41,188.1440348,64.5,5.38,98,0.1,12542.93565,75787333,0.754,14.4,0.089229626,75.2
2005,Developing,412,1.82,39.55677502,16.4,4.36,76,11.6,519.7999346,3648288,0.474,9.6,0.695416999,54.1
2006,Developing,249,0.03,75.25799773,53.2,3,59,0.1,2351.812429,27697912,0.631,10.2,0.989450742,64.7
2006,Developing,394,5.22,0.962497052,23.8,4.69,81,7.2,12.989164,17899562,0.456,8.2,0.457863437,53.3
2004,Developing,16,1.6,611.9093566,17.3,5.89,96,0.1,3853.33348,312,0.617,12.2,0.949612909,73.4
2007,Developing,226,14.22,464.077513,57.7,6.44,95,0.1,4735.484827,956953,0.739,14.9,0.246457979,69.8
2006,Developing,75,8.2,771.1817686,61.9,9.75,95,0.1,4386.69948,325755,0.891,15.8,0.27947549,85
2002,Developing,174,3.3,208.1688437,67.4,5.1,86,0.1,1631.41727,176582,0.653,12.1,0.099136644,76
2004,Developing,284,1.75,73.24150483,41.3,5.99,99,0.1,797.8377432,2496832,0.621,11.2,0.681770207,64
2014,Developing,79,11.5,6739.677606,62,11.54,98,0.1,42955.24287,66331957,0.89,16.2,0.110561779,82.2
2012,Developing,231,0.01,253.8285861,49.2,4.22,99,0.1,4368.82248,2814226,0.712,14.7,0.147766284,67.8
2012,Developed,61,10.03,11714.99858,65,9.36,92,0.1,67677.63477,22728254,0.93,20.1,0.326380068,82.3
2010,Developing,286,0.79,18.99961966,44.9,4.18,67,1.1,1366.879112,718239,0.485,9.6,0.637615487,61.8
2012,Developing,349,2.59,196.9152496,21.7,4.91,78,5.6,1734.93612,14699937,0.554,12.3,0.004467406,59.2
2002,Developing,127,4.77,12.1859723,54.1,5.52,97,0.1,716.8219,1435568,0.703,11.6,0.207578864,75
2005,Developing,446,10.09,44.52614001,14.5,9.36,64,8.7,315.788227,2854394,0.429,10.9,0.174914226,53.2
2009,Developing,263,0.11,5.665405066,16.9,6.98,71,1.1,341.2894618,15813913,0.307,4.2,0.712861781,57.1
2002,Developed,219,7.44,376.4570185,56,6.29,97,0.1,4132.34927,231173,0.746,14.8,0.72574276,73
2004,Developing,183,0.01,28.98323119,18.4,2.56,65,0.1,649.848233,15783,0.474,5.6,0.022940747,63.7
2009,Developing,175,0.03,0.697215581,21.3,2.94,71,0.1,16.63999,1674958,0.514,7.3,0.261705056,64.8
2009,Developing,183,0.22,6.19357029,15.9,6.41,89,0.2,48.7299,2674113,0.502,10.5,0.512201104,67.5
2006,Developing,13,5.38,595.7306923,56.5,8.1,9,0.1,4383.59597,61525,0.751,13.2,0.264452413,73.8
2004,Developing,162,3.62,310.6117683,68.9,4.45,55,0.1,2351.33814,178781,0.665,12.4,0.337250755,71.4
2007,Developing,189,17.87,1904.12469,56.3,5.16,95,0.1,16586.452,13468,0.829,16.1,0.876826753,73
2005,Developing,254,0.73,145.5965445,16.7,5.28,95,0.3,1247.61392,656639,0,9.2,0.204314292,65
2013,Developing,172,0.01,1521.672751,35.5,3.58,98,0.1,15687.34795,89949,0.762,13.5,0.381913007,72.9
2011,Developing,278,1.8,109.7051836,19.5,5.23,96,3.4,987.4453967,42486839,0.53,11.1,0.763822029,61.2
2009,Developing,281,0.01,56.76221682,16.2,9.42,63,0.1,445.8932979,284331,0.434,8.9,0.291664603,58.6
2009,Developing,311,0.63,1.575160196,15.5,3.3,92,1,43.7544499,431334,0.402,5.2,0.256587749,61.4
2009,Developing,215,0.01,11.14504291,26.8,3.79,64,1.2,146.83851,356288,0.476,7.1,0.222529806,61.7
2006,Developing,216,2.03,51.50447119,14.3,4.48,8,1.1,539.8791529,13474489,0.483,10.1,0.718639426,64.1
2009,Developing,149,0.83,361.0940984,48.2,3.9,66,0.1,2643.441423,23785,0.589,10.7,0.476132494,78
2003,Developed,71,6.7,1678.392773,63.9,8.6,94,0.1,13689.98999,398582,0.79,13.8,0.615995069,78.5
2013,Developing,328,2.41,20.62306285,22.3,4.99,79,4.8,185.793359,1515321,0.565,12.5,0.406751427,63
2007,Developing,181,7.24,69.63051047,45,4.76,96,0.6,4324.876427,29847,0.7,12.8,0.225952596,69.6
2013,Developed,67,10.49,703.5527332,61.3,8.1,96,0.1,5234.76736,4598294,0.902,18.6,0.463680987,81
2003,Developing,172,6.95,15.85781237,46.1,6.94,99,0.1,359.587582,182482149,0.699,14.8,0.369946781,71.8
2010,Developing,163,0.1,38.58376645,15.5,0.92,72,0.1,849.8626972,119591,0.599,12.4,0.532110864,66.9
2006,Developing,288,0.53,67.70920683,18.5,6.56,78,1.8,521.6425796,1322764,0.35,6.1,0.575704122,54.3
2009,Developing,155,5.39,30.93519548,45.6,9.14,85,0.1,2599.596259,6127837,0.663,12.1,0.59941531,73
2009,Developing,23,2.31,60.65068446,58,4.26,99,0.1,3369.48247,851967,0.704,14.5,0.929513696,68.9
2002,Developing,229,2.33,130.3784829,38.7,3.34,98,0.1,967.917468,4612,0,10.2,0.718198304,63.3
2009,Developing,78,9.08,372.6854142,63.1,9.76,99,0.1,2971.973,111717,0.857,16.2,0.681356745,80
2013,Developed,14,12.06,149.659879,64.5,7.93,95,0.1,7674.86559,7265115,0.781,14.4,0.281605154,74.1
2009,Developing,95,1.62,8.140373615,63,7.42,81,0.1,84.268878,4183156,0.746,13.2,0.462460897,74.7
2014,Developing,217,2.9,691.1333535,47.7,2.7,98,0.1,7962.365824,5466241,0.683,10.8,0.261429504,66
2007,Developing,295,0.02,10.91015598,15.2,6.73,63,0.1,369.835796,26616792,0.415,8.4,0.991487901,57.5
2002,Developing,124,5.86,27.46880965,56.3,7.18,95,0.1,488.768855,3327773,0.746,14.7,0.515730494,75.4
2004,Developing,186,7.91,12.94324581,29.2,4.17,99,0.1,1176.65871,82475,0.715,12.3,0.809457672,72.1
2008,Developing,126,8.41,1413.73543,58.6,6.66,93,0.1,8953.359275,4382389,0.792,16.3,0.010153285,75.4
2009,Developing,283,4.55,81.14304705,16.1,7.41,92,1.1,552.7455521,1514199,0.356,5.9,0.965508745,56.9
2011,Developed,58,7.4,11477.6671,57.7,11.7,98,0.1,59593.28711,9449213,0.901,16,0.607654205,81.7
2008,Developing,185,6.41,1902.693048,4.2,4.4,9,0.3,21188.11857,1315372,0.767,12.4,0.78023086,69.9
2004,Developed,91,12.05,5160.508378,59.8,9.32,95,0.1,35589.71295,1421137,0.88,18.8,0.959771494,78.8
2007,Developing,293,4.58,73.92730583,15.1,6.63,89,1.7,475.11122,1425221,0.334,4.9,0.78491211,55.3
2002,Developing,217,0.49,70.75572222,69.7,9.1,77,0.1,826.58554,87343,0,11.7,0.834267155,64.6
2014,Developing,17,0.01,726.0291764,61.3,6.42,91,0.1,7378.345289,62181,0.803,15.1,0.63435571,75.9
2011,Developing,161,0.5,2.726570602,15.8,0.76,67,0.1,114.56179,1131523,0.607,12.5,0.950417155,67.2
2013,Developing,268,0.01,73.21924272,18.1,8.13,64,0.1,631.744976,31731688,0.47,9.9,0.786241396,59.9
2006,Developed,81,12.4,69.92899358,53.2,1.35,83,0.1,443.99361,8268641,0.854,15,0.772641526,79.8
2010,Developing,118,6.21,2331.532804,61.2,8.63,95,0.1,11938.212,3374415,0.777,15.6,0.854239594,76.3
2012,Developing,174,5.93,857.1307037,55.8,4.26,85,0.4,5968.876767,115495,0.706,13.1,0.001113071,72.1
2009,Developing,271,1.76,30.72290501,24.9,5.17,94,2.1,186.76538,2393831,0.542,10.4,0.774837198,66
2005,Developed,85,12.4,5992.588029,52.7,1.53,86,0.1,38242.4252,8227829,0.848,14.9,0.181933157,79.4
2009,Developing,276,0.59,84.63438925,2.2,6.85,73,1.6,697.153124,1466597,0.385,7.1,0.281542866,56
2003,Developing,648,1.99,5.300902041,26.4,7.13,9,33.8,63.636279,191897,0.44,10.5,0.392166222,45.5
2003,Developing,71,2.32,1731.755747,59.6,7.44,93,0.1,18946.99942,66897,0.863,16,0.483265892,79.7
2002,Developing,163,4.45,393.8773633,48.2,5.67,81,0.1,2355.725857,41572491,0.656,11.5,0.614995864,71.8
2012,Developing,223,0.01,188.7373664,21.9,3.7,97,0.6,2422.816,752967,0.581,12.3,0.28671522,68.7
2007,Developing,9,7.39,209.4875875,58.7,6.35,96,0.1,1526.87746,16491687,0.797,14.8,0.310641226,78.9
2002,Developing,22,1.85,206.071686,52.2,3.48,93,0.1,2259.55796,815691,0.687,13.3,0.263516188,67.9
2009,Developing,118,6.67,1871.736563,6.7,8.78,95,0.1,9415.17386,3362755,0.774,15.5,0.966488143,76.6
2007,Developing,151,0.01,46.36536703,13.5,2.8,94,0.1,541.651484,147139191,0.513,8.6,0.893309538,68.6
2011,Developing,92,4.64,7.959131146,53.7,9.71,88,0.1,55.156834,3688865,0.711,13.4,0.958032817,76.9
2011,Developing,186,0.99,229.6687488,47.2,5.8,99,0.1,1642.837974,539614,0.497,9.4,0.321265032,68.5
2007,Developing,173,3.83,253.0007812,47.9,6.91,93,0.2,1344.31871,552216,0.601,11,0.683154634,72.5
2012,Developing,123,0.01,285.6103912,49.7,5.37,89,0.1,7496.335728,9295784,0.742,11.8,0.209036379,71.9
2014,Developing,122,0.01,2700.07305,59.4,6.38,93,0.1,19941.45532,1314545,0.86,16.5,0.744053566,77.3
2014,Developing,375,0.01,54.91159475,22.2,6.98,79,4.1,623.2871141,27212382,0.409,9.1,0.482587138,56.7
2005,Developing,81,9.95,2785.139364,6.5,9.36,96,0.1,22551.73574,1987314,0.839,15.6,0.705921642,79.3
2007,Developing,187,6.37,136.8836683,39.3,4.82,88,0.7,1653.1844,13926,0.76,12.4,0.669675729,69.7
2005,Developing,148,4.44,411.5645653,48.8,4.72,77,0.4,2754.7829,276141,0.692,13,0.285531734,72.8
2013,Developing,227,0.01,241.1958645,5.4,4.21,98,0.1,4385.379355,286917,0.72,14.7,0.151225029,68.1
2012,Developing,137,0.01,59.2589257,16.4,3.8,94,0.1,856.342857,15572753,0.557,9.9,0.883555942,77
2009,Developing,235,6.64,808.243302,48.5,4.13,98,0.1,7165.2775,169271,0.758,14.6,0.120078769,67.8
2010,Developing,144,3.01,434.7940679,72.5,5.7,62,0.1,3453.487434,18625,0.69,12.9,0.370421614,72.6
2012,Developing,65,0.01,1259.940376,24.1,9.16,99,0.1,6541.7465,385,0.675,12.1,0.609674828,77.6
2007,Developing,296,0.45,20.86878709,3.9,7.72,88,3.5,147.586896,8942,0.416,4.5,0.889503295,59.8
2003,Developing,169,4.17,24.99717134,68.2,4.71,83,0.1,197.29417,177662,0.659,12.3,0.929642102,79
2011,Developing,212,0.01,79.27658464,28.1,2.87,75,1.2,1393.261593,3717672,0.487,7.7,0.24356286,62.2
2009,Developing,288,0.82,20.53327531,44.2,4.36,73,1.1,1166.66337,6947447,0.477,9.2,0.274729026,61.6
2009,Developing,14,4.69,570.4532468,51.5,5.36,93,0.3,4166.93387,29157,0.706,13.3,0.814907932,73.8
2008,Developing,138,4.85,58.4989742,5.8,4.73,93,0.3,428.87811,2864198,0.7,13.2,0.725014036,73.9
2005,Developing,97,4.1,1002.833273,5.3,7.74,91,0.1,4697.11135,4247841,0.723,12.4,0.375590211,78.6
2010,Developing,14,4.72,69.43934508,52.2,5.3,93,0.2,522.493191,29373646,0.708,13.3,0.952734932,73.7
2014,Developing,125,6.13,221.482875,55.3,7.42,91,0.1,4429.6575,3727,0.759,13.5,0.882311012,74.5
2003,Developing,166,3.48,155.5884677,44.5,4.56,96,2.3,3465.221998,2712511,0.694,11.9,0.209706789,73.1
2007,Developed,86,10.25,640.3560918,6.9,9.25,98,0.1,4443.83131,16257,0.871,15.8,0.078413353,79.5
2004,Developing,11,3.04,1.58668462,23.4,4.72,87,0.1,158.668462,129675,0.622,10.2,0.771881018,73.5
2006,Developing,148,1.79,503.5881956,7.1,5.61,88,0.1,2892.522663,11689,0.695,14.6,0.349276707,72.4
2002,Developing,199,4.99,262.8299189,42,4.38,89,0.1,3556.561825,26226,0.678,11.9,0.739630625,68.5
2011,Developed,128,10.93,250.0773782,59.1,6.7,99,0.1,13893.18768,3863255,0.829,15.4,0.904483829,76.7
2009,Developing,124,4.45,339.9777364,26.8,4.24,99,0.4,3444.5566,496963,0.621,12.4,0.933387238,72.4
2009,Developing,131,9.85,820.8109098,56.4,9.9,95,0.1,5821.35397,73287,0.754,13.6,0.24048482,74.1
2008,Developing,127,5.36,159.8772264,58.7,6.6,96,0.1,9689.52887,11366189,0.735,12.3,0.343650678,75.6
2003,Developing,231,0.4,3.824212472,15.2,1.97,78,0.5,219.782326,47624894,0.445,7.7,0.456271774,63.2
2014,Developed,138,12.03,153.1400362,65.1,8.44,88,0.1,7853.335191,7223938,0.787,14.8,0.533875332,74.3
2005,Developing,24,0.9,25.31155956,42.1,7.83,89,0.1,88.874858,469885,0.465,8.3,0.278858603,67.4
2004,Developing,432,1.43,36.29775249,15.9,4.29,73,13.2,458.8843551,3574931,0.461,8.9,0.217062601,53
2011,Developing,83,11.8,683.9190568,6.6,11.33,99,0.1,4381.288,65342776,0.882,16.1,0.81282593,81.7
2007,Developing,164,6.05,74.8217488,5.4,4.34,85,1.6,4647.31359,954353,0.685,12.7,0.841758069,72.9
2013,Developing,287,0.01,48.73047089,23.1,5.12,84,1.5,579.43485,742948,0.47,12,0.970362395,59.4
2011,Developing,12,8.11,1504.329462,6.4,5.89,91,0.1,12726.9836,41656879,0.816,17.1,0.080472794,75.7
2009,Developing,182,4.94,75.2256582,32.4,2.64,99,0.1,976.9566,87298,0.739,13.2,0.583127239,72.3
2014,Developing,125,0.01,973.728675,54.9,5.47,88,0.1,6491.5245,3973354,0.735,13.4,0.426288604,75.3
2014,Developing,123,9.09,8.617208431,59.4,1.37,93,0.1,62.173221,713576,0.771,14.3,0.804487056,75.4
2003,Developing,189,6.14,282.8364612,2.9,3.58,98,0.6,2358.93629,64554952,0.666,11.8,0.816156135,71.7
2007,Developing,282,12.19,11.02617159,56.1,5.38,98,0.3,911.25385,1428588,0.761,13.8,0.118908931,67.3
